subject,Particular Scenario No#,answer,explanation,version,embed_level,question_id,category: Lily (2+3),Zach (3+4),Yuchen (4+1),Mira (1+2),code
96,762,sincere,Nothing sacrcastic about her text. The just exaggerated to convey how enthused she was.,1,c,2c,,D,D,,D
96,763,sincere,Jack was unaware that he made a mistake.,1,a,3a,,R,R,,R
96,764,sarcastic,"Possibly sarcastic because most of her friends think the dog is ""very cute"".",1,b,4b,,R,R,,R
96,765,sincere,Eric was unaware of Philip's argument with the clothing brand boss,1,c,5c,,R,R,,R
96,766,sincere,""" Jeremy genuinely enjoys spending time with Spencer and thinks that he is a good person""",1,a,6a,,S,S,,S
96,767,sincere,"""Ana still genuinely thinks that James is a good person""",1,a,7a,,S,S,,S
96,768,sincere,Simple answer to a simple question.,1,b,8b,,O,D,,O
97,769,sincere,Both being best friends Olivia would not do anything to make Alice feel insecure about herself. Olivia has gotten this new haircut because she is following Alice's lead unknowing what she really feels inside. So Olivia would take the reply as sincere.,0,c,1c,,R,R,,R
97,770,sarcastic,"Jane is worried for Catherine and the fact that in Catherine's reply she used a hyperbole, edges on the idea that Jane would take the message more sarcastically.  ",0,a,2a,,D,D,,D
97,771,sincere,"Jack is unbeknownst to the fact that he messed up the cake, so he would think that the message was sincere.",0,c,3c,,R,R,,R
97,772,sarcastic,"This is a hard one to choose. Julia's friends think that her dog is cute, so already she has the mind set that people like her dog. For Margaret to respond with an exclamation sentence, makes it seem more sarcastic than sincere to Julia.",0,a,4a,,R,D,,D
97,773,sincere,For Eric to wear that jacket to an interview means to values it deeply. For someone to make a judgement on it he would have an automatic bias and immediately think of the comment as flattering and nice.,0,b,5b,,R,R,,R
97,774,sarcastic,"David does not know how Jeremy and Spencer behave when they are at home. The fact that they got into a heated argument in front of him, makes him think differently of them",0,c,6c,,R,R,,R
97,775,sincere,If they Ken knew that their relationship ended with a dramatic fight then Ken would think that Ana would have nothing good to say about James. However her response was in contrast. And I believe Ken should see that Ana has very little motive to speak good of James if they fought.,0,b,7b,,O,R,,I
97,776,sincere,"May kept her feelings to herself, no one knows anything.",0,a,8a,,R,R,,R
98,777,sarcastic,Olivia knows Alice well and is aware that she doesn't like bangs.,2,a,1a,,I,I,,I
98,778,sincere,Jane understands that Catherine is dedicated enough to use the gym despite the back injury. Catherine feeling pumped after visiting the gym isn't unexpected.,2,b,2b,,I,I,,I
98,779,sincere,Jack made an honest mistake while trying his best and would be unable to interpret the text as sarcasm.,2,b,3b,,R,R,,R
98,780,sincere,Julia (the new coworker) and Margaret are unfamiliar; Julia may doubt due to the dog being a puppy but would err on Margaret being sincere. If it where one of Julia's friends it may be readily read as sarcasm.,2,c,4c,,R,I,,R
98,781,sincere,"The ego is blind. Although there is a chance that Eric was looking for a reaction, for whatever reason, and would see it as sarcasm.",2,a,5a,,R,R,,R
98,782,sarcastic,David has only seen them arguing.,2,b,6b,,R,R,,R
98,783,sincere,"""What she really thinks"" suggest that Ken is looking for an alternative to their currently held perspective. Alternatively, it's been long enough that Ken would see it as sincere and then remind Ana about the dramatic fight.",2,c,7c,,I,I,,I
98,784,sincere,"Elizabeth doesn't know what happened, although as her friend she may press for more detail after hearing that it was ""nice"".",2,c,8c,,R,R,,R
99,785,sincere,because they have been friends for so long Alice is happy to boost Olivia with the compliment.,2,a,1a,,S,I,,S
99,786,sincere,"Catherine is in full recovery and feeling great, this reply does not sound sarcastic to me.",2,b,2b,,S,S,,S
99,787,sarcastic,Confusing salt with sugar gives the answer aren't you so sweet as sarcastic remark not sincere.,2,b,3b,,D,O,,D
99,788,sincere,Margaret has a clear fear of dogs and is sincere in her response to Julia.,2,c,4c,,S,S,,S
99,789,sincere,I believe Eric would find the reply sincere as he doesn't know Phillip enough to gauge his sarcasm,2,a,5a,,R,R,,R
99,790,sarcastic,This is how kids/teens behave and give banter at every opportunity in order to break the ice with others they do not know very well.,2,b,6b,,O,I,,O
99,791,sarcastic,"Nothing says to me that Ana is anything but sincere, however, Ken would know this since he hasn't spoken with Ana since the breakup.",2,c,7c,,R,O,,R
99,792,sarcastic,The trip was ruined to the point that May had had enough to the point that sincerity went out the window.,2,c,8c,,S,O,,S
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,R,319,
,,,,,,,,,S,223,
,,,,,,,,,D,79,
,,,,,,,,,I,61,
,,,,,,,,,O,106,
,,,,,,,,,N,4,
